impl,m,n,k,time_ms,gflops,max_abs_error
cublas,512,512,512,0.06,4161.02,NA
tiled,512,512,512,0.17,1612.88,0.000152588
naive,512,512,512,0.21,1257.47,0.000152588
cublas,1024,1024,1024,0.24,9118.05,NA
tiled,1024,1024,1024,0.83,2580.91,0.000183105
naive,1024,1024,1024,1.19,1804.73,0.000183105
cublas,2048,2048,2048,1.43,12009.46,NA
tiled,2048,2048,2048,4.78,3597.22,0
naive,2048,2048,2048,6.80,2525.74,0
cublas,4096,4096,4096,10.28,13374.96,NA
tiled,4096,4096,4096,47.94,2866.81,0
naive,4096,4096,4096,73.02,1882.30,0
